num,solved,opt,low,comps,deg,n,space,time
1,1,6,6,1,6.9,20,3128,6
2,1,7,7,1,14.48,25,34987,91
3,1,7,7,1,9.36,28,4052907,1199
4,1,10,7,1,15.0,28,9133,15
5,1,6,6,1,16.79,28,205840,534
6,1,8,7,1,12.41,29,828468,302
7,1,8,7,1,11.67,30,924885,309
8,1,8,7,1,13.0,30,1645589,576
9,0,3,3,1,3.35,31,0,0
10,1,5,4,1,5.62,32,3201813,17399
11,0,5,4,1,8.18,33,0,0
12,1,5,5,3,4.45,40,91082,8041
13,1,4,4,1,4.32,44,35287577,18289
14,1,3,3,1,3.36,47,31980,3582
15,0,3,2,1,3.25,48,0,0
16,0,3,3,1,3.92,48,0,0
17,1,4,4,1,9.41,51,4305,6047
18,1,3,3,1,3.35,52,58272,2578
19,1,3,3,1,5.42,52,276142,3302
20,0,3,2,1,3.15,54,0,0
21,1,3,3,1,4.59,54,146139,3054
22,1,2,2,1,2.29,56,57621,1465
23,0,0,2,1,3.75,57,0,0
24,1,3,3,1,3.43,60,112164,2517
25,1,2,2,1,3.48,62,53966,2022
26,0,0,2,3,3.7,66,0,0
27,1,5,5,11,3.62,73,336737,10770
28,1,2,2,8,3.14,74,73215,2191
29,0,0,2,1,2.38,78,0,0
30,0,0,2,1,2.35,80,0,0
31,1,2,2,4,3.83,81,8316,1691
32,1,2,2,1,2.02,84,28820,2521
33,1,2,2,2,2.09,94,70054,4049
34,1,2,2,15,2.93,103,11038,1519
35,0,0,0,1,92.57,140,0,0
36,0,0,0,1,91.02,141,0,0
37,0,0,0,1,93.72,141,0,0
38,0,0,0,1,95.48,141,0,0
39,0,0,0,1,92.66,143,0,0
40,0,0,0,1,98.76,143,0,0
41,0,0,0,1,100.83,143,0,0
42,0,0,0,1,120.48,200,0,0
43,0,0,0,1,138.68,200,0,0
44,0,0,0,1,139.3,200,0,0
45,0,0,0,1,45.29,202,0,0
46,0,0,0,1,35.82,478,0,0
47,0,0,0,1,10.99,822,0,0
48,0,0,0,1,11.43,822,0,0
49,0,0,0,3,6.12,909,0,0
50,0,0,0,3,6.54,916,0,0
51,0,0,0,9,7.22,1010,0,0
52,0,0,0,1,9.6,1024,0,0
53,0,0,0,1,25.6,1049,0,0
54,0,0,0,1,29.52,1182,0,0
55,0,0,0,1,9.51,1224,0,0
56,0,0,0,1,11.94,1258,0,0
57,0,0,0,1,7.73,1350,0,0
58,0,0,0,1,7.71,1365,0,0
59,0,0,0,7,5.6,1413,0,0
60,0,0,0,4,5.08,1488,0,0
61,0,0,0,18,6.25,1505,0,0
62,0,0,0,1,6.95,1586,0,0
63,0,0,0,1,8.92,1632,0,0
64,0,0,0,1,4.94,1700,0,0
65,0,0,0,1,5.83,1742,0,0
66,0,0,0,3,7.02,1813,0,0
67,0,0,0,3,7.04,1813,0,0
68,0,0,0,1,18.47,1236,0,0
69,0,0,0,1,40.83,1280,0,0
70,0,0,0,1,18.4,1760,0,0
71,0,0,0,1,15.02,2166,0,0
72,0,0,0,1,8.16,3509,0,0
73,0,0,0,1,2.31,4838,0,0
74,0,0,0,2,4.94,5486,0,0
75,0,0,0,1079,3.92,5612,0,0
76,0,0,0,3,7.04,1814,0,0
77,0,0,0,1,14.58,2017,0,0
78,0,0,0,1,5.88,2166,0,0
79,0,0,0,3,16.26,2194,0,0
80,0,0,0,1,2.75,2263,0,0
81,0,0,0,1,2.42,2530,0,0
82,0,0,0,123,3.34,2543,0,0
83,0,0,0,1,2.54,2562,0,0
84,0,0,0,3,2.38,2675,0,0
85,0,0,0,1,5.63,2735,0,0
86,0,0,0,1,3.66,2931,0,0
87,0,0,0,1,7.19,3006,0,0
88,0,0,0,1,7.19,3006,0,0
89,0,0,0,4,2.17,3034,0,0
90,0,0,0,4,3.74,3086,0,0
91,0,0,0,1,4.9,3200,0,0
92,0,0,0,1,4.8,3477,0,0
93,0,0,0,1,4.73,3482,0,0
94,0,0,0,155,3.1,3530,0,0
95,0,0,0,2,6.39,3600,0,0
96,0,0,0,1,6.83,3969,0,0
97,0,0,0,1,2.19,5067,0,0
98,0,0,0,723,1.85,7253,0,0
99,0,0,0,1,2.27,7537,0,0
100,1,0,0,5000,1.5,20000,20000,183
