num,solved,opt,low,comps,deg,n,,,
1,1,6,0,1,6.9,20,,,
2,1,7,0,1,14.48,25,,,
3,1,7,0,1,9.36,28,,,
4,1,10,0,1,15,28,,,
5,1,6,0,1,16.79,28,,,
6,1,8,0,1,12.41,29,,,
7,1,8,0,1,11.67,30,,,
8,1,8,0,1,13,30,,,
9,1,3,0,1,3.35,31,,,24
10,1,5,0,1,5.62,32,,,
11,1,5,0,1,8.18,33,,,
12,0,5,0,3,4.45,40,,,
13,0,4,0,1,4.32,44,,,
14,0,3,0,1,3.36,47,,,
15,0,3,0,1,3.25,48,,,
16,1,3,0,1,3.92,48,,,
17,1,4,0,1,9.41,51,,,
18,0,0,0,1,3.35,52,,,
19,1,3,0,1,5.42,52,,,
20,0,3,0,1,3.15,54,,,
21,1,3,0,1,4.59,54,,,
22,1,2,0,1,2.29,56,,,
23,0,0,0,1,3.75,57,,,
24,1,3,0,1,3.43,60,,,
25,1,2,0,1,3.48,62,,,
26,0,0,0,3,3.7,66,,,
27,0,5,0,11,3.62,73,,,
28,1,2,0,8,3.14,74,,,
29,0,0,0,1,2.38,78,,,
30,0,0,0,1,2.35,80,,,
31,1,2,0,4,3.83,81,,,
32,1,2,0,1,2.02,84,,,
33,1,2,0,2,2.09,94,,,
34,1,2,0,15,2.93,103,,,
35,0,0,0,1,92.57,140,,,
36,0,0,0,1,91.02,141,,,
37,0,0,0,1,93.72,141,,,
38,0,0,0,1,95.48,141,,,
39,0,0,0,1,92.66,143,,,
40,0,0,0,1,98.76,143,,,
41,0,0,0,1,100.83,143,,,
42,0,0,0,1,120.48,200,,,
43,0,0,0,1,138.68,200,,,
44,0,0,0,1,139.3,200,,,
45,0,0,0,1,45.29,202,,,
46,0,0,0,1,35.82,478,,,
47,0,0,0,1,10.99,822,,,
48,0,0,0,1,11.43,822,,,
49,0,0,0,3,6.12,909,,,
50,0,0,0,3,6.54,916,,,
51,0,0,0,9,7.22,1010,,,
52,0,0,0,1,9.6,1024,,,
53,0,0,0,1,25.6,1049,,,
54,0,0,0,1,29.52,1182,,,
55,0,0,0,1,9.51,1224,,,
56,0,0,0,1,11.94,1258,,,
57,0,0,0,1,7.73,1350,,,
58,0,0,0,1,7.71,1365,,,
59,0,0,0,7,5.6,1413,,,
60,0,0,0,4,5.08,1488,,,
61,0,0,0,18,6.25,1505,,,
62,0,0,0,1,6.95,1586,,,
63,0,0,0,1,8.92,1632,,,
64,0,0,0,1,4.94,1700,,,
65,0,0,0,1,5.83,1742,,,
66,0,0,0,3,7.02,1813,,,
67,0,0,0,3,7.04,1813,,,
68,0,0,0,1,18.47,1236,,,
69,0,0,0,1,40.83,1280,,,
70,0,0,0,1,18.4,1760,,,
71,0,0,0,1,15.02,2166,,,
72,0,0,0,1,8.16,3509,,,
73,0,0,0,1,2.31,4838,,,
74,0,0,0,2,4.94,5486,,,
75,0,0,0,1079,3.92,5612,,,
76,0,0,0,3,7.04,1814,,,
77,0,0,0,1,14.58,2017,,,
78,0,0,0,1,5.88,2166,,,
79,0,0,0,3,16.26,2194,,,
80,0,0,0,1,2.75,2263,,,
81,0,0,0,1,2.42,2530,,,
82,0,0,0,123,3.34,2543,,,
83,0,0,0,1,2.54,2562,,,
84,0,0,0,3,2.38,2675,,,
85,0,0,0,1,5.63,2735,,,
86,0,0,0,1,3.66,2931,,,
87,0,0,0,1,7.19,3006,,,
88,0,0,0,1,7.19,3006,,,
89,0,0,0,4,2.17,3034,,,
90,0,0,0,4,3.74,3086,,,
91,0,0,0,1,4.9,3200,,,
92,0,0,0,1,4.8,3477,,,
93,0,0,0,1,4.73,3482,,,
94,0,0,0,155,3.1,3530,,,
95,0,0,0,2,6.39,3600,,,
96,0,0,0,1,6.83,3969,,,
97,0,0,0,1,2.19,5067,,,
98,0,0,0,723,1.85,7253,,,
99,0,0,0,1,2.27,7537,,,
100,1,0,0,5000,1.5,20000,,,
